,type,month,day,engagement,comment,share,tag_friend,purchase_intention,year,date
0,actor,1,1,341,14,3,3,0,2020,2020-01-01
1,actor,1,2,621,4,11,1,0,2020,2020-01-02
2,actor,1,6,820,18,20,2,0,2020,2020-01-06
3,actor,1,9,1021,17,6,1,0,2020,2020-01-09
4,actor,1,17,484,6,5,0,0,2020,2020-01-17
5,actor,1,24,875,19,5,1,0,2020,2020-01-24
6,actor,1,28,1741,36,30,0,0,2020,2020-01-28
7,actor,1,30,1046,26,13,0,0,2020,2020-01-30
8,actor,2,2,601,23,7,0,0,2020,2020-02-02
9,actor,2,24,1200,40,19,2,0,2020,2020-02-24
10,actor,2,25,1522,51,25,1,0,2020,2020-02-25
11,actor,3,13,1347,38,12,1,0,2020,2020-03-13
12,actor,3,19,36,0,1,0,0,2020,2020-03-19
13,actor,3,26,1105,19,48,5,0,2020,2020-03-26
14,actor,3,28,1139,36,59,3,0,2020,2020-03-28
15,actor,3,30,1226,31,27,5,0,2020,2020-03-30
16,actor,4,4,3480,40,73,8,0,2020,2020-04-04
17,actor,4,12,1592,11,28,2,0,2020,2020-04-12
18,actor,4,17,40,0,2,0,0,2020,2020-04-17
19,actor,4,25,63,3,2,1,0,2020,2020-04-25
20,actor,4,28,2083,21,21,4,0,2020,2020-04-28
21,actor,5,4,1558,30,113,5,0,2020,2020-05-04
22,actor,5,8,2083,27,30,0,0,2020,2020-05-08
23,actor,5,13,1070,11,6,0,0,2020,2020-05-13
24,actor,5,18,1203,22,83,1,0,2020,2020-05-18
25,actor,5,21,1548,28,12,0,0,2020,2020-05-21
26,actor,6,21,847,19,4,2,0,2020,2020-06-21
27,actor,7,3,1475,19,19,1,0,2020,2020-07-03
28,actor,7,4,1734,24,39,1,0,2020,2020-07-04
29,actor,7,22,2821,32,7,0,0,2020,2020-07-22
30,actor,7,24,802,15,9,0,0,2020,2020-07-24
31,actor,9,12,112,3,3,0,0,2020,2020-09-12
32,actor,10,28,437,27,6,0,0,2020,2020-10-28
33,actor,12,9,1351,29,10,0,0,2020,2020-12-09
34,actor,12,13,1900,40,28,0,0,2020,2020-12-13
35,actor,12,14,40,4,1,0,0,2020,2020-12-14
36,actor,12,15,1524,14,10,0,0,2020,2020-12-15
37,actor,12,16,1047,11,23,2,0,2020,2020-12-16
38,actor,12,17,1443,28,9,0,0,2020,2020-12-17
39,actor,12,20,2325,37,19,0,0,2020,2020-12-20
40,actor,12,21,531,12,11,2,0,2020,2020-12-21
41,actor,12,24,971,12,22,1,0,2020,2020-12-24
42,actor,12,25,1231,22,4,0,0,2020,2020-12-25
43,artist,1,1,187143,6086,34165,1019,61,2020,2020-01-01
44,artist,1,2,76057,1496,4364,493,11,2020,2020-01-02
45,artist,1,3,95220,6380,10001,4592,7,2020,2020-01-03
46,artist,1,4,70311,3113,6002,1932,10,2020,2020-01-04
47,artist,1,5,125177,4247,15572,2827,11,2020,2020-01-05
48,artist,1,6,100075,3545,7048,2225,15,2020,2020-01-06
49,artist,1,7,111072,3691,11200,2320,9,2020,2020-01-07
50,artist,1,8,93158,3116,6716,1902,24,2020,2020-01-08
51,artist,1,9,100118,3925,9964,2252,13,2020,2020-01-09
52,artist,1,10,67106,2262,5970,603,15,2020,2020-01-10
53,artist,1,11,99699,3918,9617,2565,18,2020,2020-01-11
54,artist,1,12,64512,2243,6584,1311,9,2020,2020-01-12
55,artist,1,13,107619,4366,11778,2916,10,2020,2020-01-13
56,artist,1,14,169204,10859,23004,7918,19,2020,2020-01-14
57,artist,1,15,54655,2881,5821,2045,7,2020,2020-01-15
58,artist,1,16,50627,1383,4285,739,4,2020,2020-01-16
59,artist,1,17,71027,1812,5342,869,4,2020,2020-01-17
60,artist,1,18,83396,2331,6344,757,2,2020,2020-01-18
61,artist,1,19,76330,4176,7873,3037,10,2020,2020-01-19
62,artist,1,20,67785,2559,5442,1876,7,2020,2020-01-20
63,artist,1,21,130668,4525,16713,2868,12,2020,2020-01-21
64,artist,1,22,92188,8225,10954,5431,15,2020,2020-01-22
65,artist,1,23,83947,5384,11716,4461,10,2020,2020-01-23
66,artist,1,24,95452,2708,9014,1090,14,2020,2020-01-24
67,artist,1,25,97956,4635,9141,3225,18,2020,2020-01-25
68,artist,1,26,97239,3218,12367,2035,7,2020,2020-01-26
69,artist,1,27,69682,3915,7126,2831,3,2020,2020-01-27
70,artist,1,28,162343,13215,32401,10076,7,2020,2020-01-28
71,artist,1,29,64850,1945,6323,1081,13,2020,2020-01-29
72,artist,1,30,42436,1400,3962,645,12,2020,2020-01-30
73,artist,1,31,59048,1759,5573,845,19,2020,2020-01-31
74,artist,2,1,94088,1564,22882,884,16,2020,2020-02-01
75,artist,2,2,62995,2371,6534,1280,4,2020,2020-02-02
76,artist,2,3,35418,1516,3251,1103,15,2020,2020-02-03
77,artist,2,4,115026,3706,15327,1938,17,2020,2020-02-04
78,artist,2,5,71948,3099,8148,1972,16,2020,2020-02-05
79,artist,2,6,46781,1513,3169,965,7,2020,2020-02-06
